companylist_noheader.symbol,companylist_noheader.company_name,companylist_noheader.price,companylist_noheader.market_cap,companylist_noheader.field_5,companylist_noheader.field_6,companylist_noheader.sector,companylist_noheader.industry,companylist_noheader.qoute,companylist_noheader.field_10
DDD,3D Systems Corporation,51.3699989319,5340931605.46,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,
MMM,3M Company,142.38999939,93162708068.3,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,33.7099990845,1108170572.95,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,
WUBA,58.com Inc.,41.5699996948,3302252043.22,n/a,2013,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/wuba,
AHC,A.H. Belo Corporation,11.6700000763,256920009.75,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,
ATEN,A10 Networks Inc.,11.4300003052,686422740.69,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten,
AIR,AAR Corp.,24.3400001526,963098507.0,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,
AAN,Aaron&#39;s Inc.,32.8499984741,2372805661.95,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,
ABB,ABB Ltd,23.7700004578,54686433956.1,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,39.5999984741,59476766104.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,
